time,state,candidate,raw,geometry,next,num,den,ca,cb,port_ratio,corrected,negative
3.114563880219769955e-07,5.745151854392319818e-02,5.745152128685510062e-02,3.976219414387909684e-02,3.976219414387909684e-02,2.539092897006390084e-02,1.557266367202920110e+00,1.557281939866590026e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000480000036e-01,1.161430117565320080e-02,-1.825445755556480074e-02
3.433895944582830098e-07,6.543480358422200382e-02,6.543480657016259583e-02,4.730897333821820067e-02,4.730897333821820067e-02,3.136159650423950285e-02,1.716930802687739899e+00,1.710075896715540056e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.819240987332650272e-01,1.843801294055859991e-02,-2.551450975595160112e-02
3.813961285933809875e-07,7.493641740212769742e-02,7.493642066898059673e-02,5.647364601250579735e-02,5.647364601250579735e-02,3.937387141569859833e-02,1.906961572986560105e+00,1.836200356290339952e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.984976459120210035e-01,2.702895714608710004e-02,-3.445525770798209958e-02
4.077502162517689740e-07,8.152492564810409625e-02,8.152492910457720399e-02,6.290699390151680004e-02,6.290699390151680004e-02,4.570184346259369840e-02,2.038730693535240057e+00,1.894171021646259945e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.166327230824200312e-01,3.319388062006439766e-02,-4.078469042489270280e-02
4.468316258732810194e-07,9.129525778752900500e-02,9.129526151763589503e-02,7.252299520235329366e-02,7.252299520235329366e-02,5.647381856836589803e-02,2.234135787508260140e+00,1.951635054685749937e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.494803833479210420e-01,4.254078220384729936e-02,-5.029669831019289994e-02
5.083533273772680191e-07,1.066756512697019932e-01,1.066756554129079937e-01,8.777063235018470189e-02,8.777063235018470189e-02,7.714614377180220584e-02,2.541741218826819804e+00,2.000643784467099895e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.098215956829370343e-01,5.755570604713840244e-02,-6.545388200607829554e-02
6.200040782694410376e-07,1.345882811368480092e-01,1.345882859778450014e-01,1.155939645392899950e-01,1.155939645392899950e-01,1.270655648949459982e-01,3.099989390490729857e+00,2.032558723202170015e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.320796641443669817e-01,8.522277526737839781e-02,-9.321419442529470245e-02
7.385333007078490123e-07,1.642205253595490078e-01,1.642205308738899916e-01,1.452004822296009967e-01,1.452004822296009967e-01,1.978219840552039865e-01,3.692629575878060066e+00,2.040476702909939988e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.686510333069400458e-01,1.147853616205310040e-01,-1.227999457909599995e-01
7.834651733687170156e-07,1.754534702626449894e-01,1.754534760154060069e-01,1.564292837507050005e-01,1.564292837507050005e-01,2.288332341290829908e-01,3.867873858434029977e+00,2.041373289947459924e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.094757245971980542e-01,1.260074325490830038e-01,-1.340246230690000095e-01
8.634765724223489505e-07,1.954562786131180119e-01,1.954562847691480032e-01,1.764269224334389929e-01,1.764269224334389929e-01,2.834078761771959831e-01,4.016073804924859658e+00,2.042145761809190052e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.439656377202579884e-01,1.459969938874960127e-01,-1.540163933591129908e-01
9.761039314952150907e-07,2.236130601082060021e-01,2.236130667886490064e-01,2.045783416157400114e-01,2.045783416157400114e-01,3.529477391965260002e-01,4.080656035307080209e+00,2.042528432974040076e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.589657922633649800e-01,1.741404308568360038e-01,-1.821608313474619989e-01
1.158220885612309991e-06,2.691422044583450246e-01,2.691422118902149774e-01,2.500999612967950148e-01,2.500999612967950148e-01,4.522040955981679877e-01,4.098866838316729933e+00,2.042761582972560053e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.631354431137539862e-01,2.196511712037549913e-01,-2.276719283500880098e-01
1.417866049592970065e-06,3.340533612692310195e-01,3.340533695949099990e-01,3.150007129531229855e-01,3.150007129531229855e-01,5.844105240115420319e-01,4.100602627219010365e+00,2.043097122634359941e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.633850683158700079e-01,2.845369832601010174e-01,-2.925578934588640156e-01
1.715054112839310001e-06,4.083502235970680183e-01,4.083502327364310069e-01,3.892856894422029868e-01,3.892856894422029868e-01,7.336643614683370229e-01,4.100914547935020416e+00,2.043707889350720119e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.631704184662680523e-01,3.588049021395769977e-01,-3.668259612881289988e-01
1.947312869173709903e-06,4.664147927909499947e-01,4.664148024410120219e-01,4.473409696953110082e-01,4.473409696953110082e-01,8.501103050716649623e-01,4.101261473399399726e+00,2.044405231460900030e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.629233367442809888e-01,4.168468516714149974e-01,-4.248680271273779785e-01
2.087526983147219905e-06,5.014682489285560152e-01,5.014682588428359677e-01,4.823888181114440177e-01,4.823888181114440177e-01,9.203479041015829587e-01,4.101526412543059941e+00,2.044935974161549819e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.627356078118179949e-01,4.518866523443569871e-01,-4.599078980245249748e-01
2.327032509304770073e-06,5.613445069051650194e-01,5.613445172062749844e-01,5.422554973087569952e-01,5.422554973087569952e-01,1.040189129644979893e+00,4.102087684935660228e+00,2.046060225325569970e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.623382852553440392e-01,5.117395848594850083e-01,-5.197609504922779955e-01
2.673839317995380104e-06,6.480460302140269579e-01,6.480460409570749647e-01,6.289431504370609494e-01,6.289431504370609494e-01,1.213329258062489924e+00,4.103177366664660042e+00,2.048242882596860159e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.615681581182690119e-01,5.984073326342169707e-01,-6.064288719581439890e-01
3.129618776032969906e-06,7.619906597330089459e-01,7.619906708967919551e-01,7.428695515324890142e-01,7.428695515324890142e-01,1.439898372831539985e+00,4.105196041880000202e+00,2.052286334531229883e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.601457978528850079e-01,7.123075737772029958e-01,-7.203293413665989853e-01
3.629618776032970201e-06,8.869904020106299525e-01,8.869904134894659453e-01,8.678492968373719973e-01,8.678492968373719973e-01,1.686660618372400000e+00,4.108321352214339583e+00,2.058546401552950211e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.579547235657700499e-01,8.372586210483919933e-01,-8.452806390477799470e-01
4.129618776032969649e-06,1.011990144333209996e+00,1.011990156024479948e+00,9.928290421908659846e-01,9.928290421908659846e-01,1.930851964437469981e+00,4.112568909013409879e+00,2.067054353530750177e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.549981464849679469e-01,9.622096683712280107e-01,-9.702319367790690485e-01
4.629618776032969944e-06,1.136989886683209994e+00,1.136989898519219944e+00,1.117808787574199991e+00,1.117808787574199991e+00,2.171657136051400094e+00,4.118113169010999997e+00,2.078159631233489790e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.511754012494160193e-01,1.087160715725909998e+00,-1.095183234541180051e+00
5.129618776032970239e-06,1.261989629049059980e+00,1.261989640985069938e+00,1.242788532974979931e+00,1.242788532974979931e+00,2.408180248756699893e+00,4.125128471123430174e+00,2.092211439438940168e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.463965394615110327e-01,1.212111763099360084e+00,-1.220134532321399901e+00
5.629618776032969687e-06,1.386989371423120065e+00,1.386989383429469980e+00,1.367768278385010028e+00,1.367768278385010028e+00,2.639464417040469968e+00,4.133789154742100180e+00,2.109558983876400173e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.405846479775850089e-01,1.337062810482940067e+00,-1.345085830111300007e+00
6.129618776032969982e-06,1.511989113800279894e+00,1.511989125857229999e+00,1.492748023798859958e+00,1.492748023798859958e+00,2.864515273806480078e+00,4.144269559304690098e+00,2.130551470367879840e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.336781655301460425e-01,1.462013857870920086e+00,-1.470037127905299945e+00
6.629618776032970277e-06,1.636988856177149954e+00,1.636988868271399999e+00,1.617727769212879974e+00,1.617727769212879974e+00,3.082327486786060167e+00,4.156744024247240432e+00,2.155538104732159788e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.256329671026910511e-01,1.586964905259460101e+00,-1.594988425699680024e+00
7.129618776032969725e-06,1.761988598551420093e+00,1.761988610673919986e+00,1.742707514624630027e+00,1.742707514624630027e+00,3.291913364732220071e+00,4.171386889005740173e+00,2.184868092787859872e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.164240684701260298e-01,1.711915952645999939e+00,-1.719939723491910044e+00
7.629618776032970020e-06,1.886988340921510021e+00,1.886988353065949919e+00,1.867687260032429908e+00,1.867687260032429908e+00,3.492332378929449810e+00,4.188372493016119691e+00,2.218890640353469834e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.060468145744090540e-01,1.836867000028769903e+00,-1.844891021280280041e+00
8.129618776032970315e-06,2.011988083286300188e+00,2.011988095448129954e+00,1.992667005435079908e+00,1.992667005435079908e+00,3.682720224436220047e+00,4.207875175714190341e+00,2.257954953247330199e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.945174399359600015e-01,1.961818047406540089e+00,-1.969842319063580094e+00
8.629618776032970610e-06,2.136987825644970140e+00,2.136987837820770064e+00,2.117646750831740032e+00,2.117646750831740032e+00,3.862315950376039808e+00,4.230069276535740386e+00,2.302410237287630057e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.818729259340599702e-01,2.086769094778400113e+00,-2.094793616840919803e+00
9.129618776032979375e-06,2.261987567996889936e+00,2.261987580183939972e+00,2.242626496221729937e+00,2.242626496221729937e+00,4.030485719736650374e+00,4.255129134916430189e+00,2.352605698292370207e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.681701256426139768e-01,2.211720142143680068e+00,-2.219744914611649911e+00
9.629618776032979670e-06,2.386987310341539992e+00,2.386987322537600154e+00,2.367606241604530037e+00,2.367606241604530037e+00,4.186741922307479769e+00,4.283229090291870378e+00,2.408890542079419994e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.534841776056349971e-01,2.336671189501830170e+00,-2.344696212375210198e+00
1.012961877603300029e-05,2.511987052678470000e+00,2.511987064881560094e+00,2.492585986979690027e+00,2.492585986979690027e+00,4.330756648027049849e+00,4.314543482097570326e+00,2.471613974466460029e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.379062801493729618e-01,2.461622236852400114e+00,-2.469647510131169899e+00
1.062961877603300059e-05,2.636986795007310036e+00,2.636986807215619955e+00,2.617565732346819996e+00,2.617565732346819996e+00,4.462368903999699654e+00,4.349246649768939932e+00,2.541125201270979961e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.215409420772249449e-01,2.586573284194980005e+00,-2.594598807879109792e+00
1.112961877603299919e-05,2.761986537327679958e+00,2.761986549539519942e+00,2.742545477705539803e+00,2.742545477705539803e+00,4.581585385998890203e+00,4.387512932741300276e+00,2.617773428310270045e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.045028591228610138e-01,2.711524331529199916e+00,-2.719550105618679936e+00
