run,time_s,q
41,0.0020603211364898528,-0.6931416775177881
41,0.0020648211364898534,-0.6931418115158179
41,0.002068821136489854,-0.6931419277507773
41,0.0020733211364898545,-0.6931420553609359
41,0.002077821136489855,-0.6931421797135016
41,0.0020823211364898557,-0.6931423008916326
41,0.0020863211364898562,-0.6931424060061271
41,0.002090821136489857,-0.6931425214075296
41,0.0020953211364898574,-0.6931426338630011
41,0.002099321136489858,-0.6931427314111305
41,0.0021038211364898586,-0.6931428385056934
41,0.002108321136489859,-0.6931429428663792
41,0.0021123211364898597,-0.6931430333927857
41,0.0021168211364898603,-0.6931431327784541
41,0.002121321136489861,-0.6931432296270353
41,0.0021253211364898614,-0.6931433136371576
41,0.002129821136489862,-0.6931434058688332
41,0.0021343211364898626,-0.6931434957460464
41,0.002138321136489863,-0.6931435737089411
41,0.0021428211364898637,-0.6931436593015841
41,0.0021473211364898643,-0.6931437427092442
41,0.002151321136489865,-0.6931438150602033
41,0.0021558211364898655,-0.6931438944917048
41,0.002160321136489866,-0.6931439718955031
41,0.0021643211364898666,-0.6931440390384859
41,0.002168821136489867,-0.693144112752339
41,0.0021733211364898678,-0.6931441845844467
41,0.0021773211364898683,-0.6931442468943343
41,0.002181821136489869,-0.6931443153021073
41,0.0021863211364898695,-0.6931443819635861
41,0.00219032113648987,-0.6931444397882744
41,0.0021948211364898706,-0.6931445032719091
41,0.0021993211364898712,-0.6931445651349529
41,0.002203821136489872,-0.6931446254187758
41,0.0022078211364898724,-0.6931446777112442
41,0.002212321136489873,-0.6931447351212546
41,0.0022168211364898736,-0.6931447910657195
41,0.002220821136489874,-0.6931448395940646
41,0.0022253211364898747,-0.6931448928715794
41,0.0022298211364898753,-0.6931449447890424
41,0.002233821136489876,-0.6931449898242138
41,0.0022383211364898764,-0.6931450392666999
41,0.002242821136489877,-0.6931450874470333
41,0.0022468211364898775,-0.693145129240477
41,0.002251321136489878,-0.6931451751239877
41,0.0022558211364898787,-0.693145219836198
41,0.0022598211364898793,-0.6931452586212603
41,0.00226432113648988,-0.6931453012019775
41,0.0022688211364898805,-0.6931453426957074
41,0.002272821136489881,-0.6931453786889382
41,0.0022773211364898816,-0.6931454182046048
41,0.002281821136489882,-0.6931454567115269
41,0.0022858211364898827,-0.6931454901138878
41,0.0022903211364898833,-0.6931455267851323
41,0.002294821136489884,-0.6931455625202442
41,0.0022988211364898844,-0.6931455935182317
41,0.002303321136489885,-0.6931456275498016
41,0.0023078211364898856,-0.6931456607126236
41,0.002311821136489886,-0.6931456894793101
41,0.0023163211364898868,-0.6931457210612146
41,0.0023208211364898874,-0.6931457518369061
