p,X,group,profile,Y,stages,relative_error,valid
5,5e-324,grid,untrimmed,2,3,7.701400834097719e-05,True
5,5e-324,grid,trim_target,2,3,2.056528507038207e-06,True
5,2.2250738585072014e-308,grid,ideal,1.8984375,3,1.3270949988180252e-17,True
5,2.2250738585072014e-308,grid,untrimmed,1.8984375,3,6.765325578643988e-05,True
5,2.2250738585072014e-308,grid,trim_target,1.8984375,3,1.846545412157376e-06,True
5,1e-300,grid,ideal,1.0218702384817764,3,5.266161219514133e-17,True
5,1e-300,grid,untrimmed,1.0218702384817764,3,1.528602572733102e-05,True
5,1e-300,grid,trim_target,1.0218702384817764,3,6.10710098125883e-07,True
5,1e-100,grid,ideal,1.6609435191320996,3,9.638974535849479e-18,True
5,1e-100,grid,untrimmed,1.6609435191320996,3,4.763180895500042e-05,True
5,1e-100,grid,trim_target,1.6609435191320996,3,1.396764278222643e-06,True
5,0.001,grid,ideal,1.024,3,9.670667174638977e-18,True
5,0.001,grid,untrimmed,1.024,3,1.5317854195957967e-05,True
5,0.001,grid,trim_target,1.024,3,6.118308926479715e-07,True
5,0.125,grid,ideal,1.4163703918457031,3,1.6031701657503376e-18,True
5,0.125,grid,untrimmed,1.4163703918457031,3,3.079633603570654e-05,True
5,0.125,grid,trim_target,1.4163703918457031,3,1.0080312053987928e-06,True
5,0.5,grid,ideal,1.52587890625,3,1.9145073901777097e-17,True
5,0.5,grid,untrimmed,1.52587890625,3,3.776521929700675e-05,True
5,0.5,grid,trim_target,1.52587890625,3,1.171383417474614e-06,True
5,0.9999999999999999,grid,ideal,1.8020324707031248,3,2.7755575615628927e-18,True
5,0.9999999999999999,grid,untrimmed,1.8020324707031248,3,5.9147158216873394e-05,True
5,0.9999999999999999,grid,trim_target,1.8020324707031248,3,1.6565174317433525e-06,True
5,1,grid,ideal,1,3,0.0,True
5,1,grid,untrimmed,1,3,1.499957101812726e-05,True
5,1,grid,trim_target,1,3,5.999993132996596e-07,True
5,1.0000000000000002,grid,ideal,1.0000000000000002,3,5.9164567891575876e-33,True
5,1.0000000000000002,grid,untrimmed,1.0000000000000002,3,1.500042941815068e-05,True
5,1.0000000000000002,grid,trim_target,1.0000000000000002,3,6.000006867380306e-07,True
5,2,grid,ideal,2,3,8.912191421884346e-18,True
5,2,grid,untrimmed,2,3,7.701400834097719e-05,True
5,2,grid,trim_target,2,3,2.056528507038207e-06,True
5,3,grid,ideal,1.538726806640625,3,6.6431023918636536e-18,True
5,3,grid,untrimmed,1.538726806640625,3,3.8673167186070666e-05,True
5,3,grid,trim_target,1.538726806640625,3,1.1917593555152946e-06,True
5,10,grid,ideal,1.5359020233154297,3,5.730603495837814e-18,True
5,10,grid,untrimmed,1.5359020233154297,3,3.845063126837152e-05,True
5,10,grid,trim_target,1.5359020233154297,3,1.187244033871522e-06,True
5,500000,grid,ideal,1.4551915228366852,3,6.776886896570652e-19,True
5,500000,grid,untrimmed,1.4551915228366852,3,3.316726663506398e-05,True
5,500000,grid,trim_target,1.4551915228366852,3,1.063797442501526e-06,True
5,1e+100,grid,ideal,1.0849450628187218,3,3.3909838416024085e-17,True
5,1e+100,grid,untrimmed,1.0849450628187218,3,1.6510220517996858e-05,True
5,1e+100,grid,trim_target,1.0849450628187218,3,6.494699589697836e-07,True
5,1e+300,grid,ideal,1.5317735972835547,3,2.0660791317609585e-17,True
5,1e+300,grid,untrimmed,1.5317735972835547,3,3.819478317415952e-05,True
5,1e+300,grid,trim_target,1.5317735972835547,3,1.1807124009677037e-06,True
5,1.7976931348623157e+308,grid,ideal,1.5258789062499998,3,4.52658773828618e-17,True
5,1.7976931348623157e+308,grid,untrimmed,1.5258789062499998,3,3.776521929700871e-05,True
5,1.7976931348623157e+308,grid,trim_target,1.5258789062499998,3,1.171383417476572e-06,True
6,5e-324,grid,ideal,1,3,1.399091637609852e-89,True
6,5e-324,grid,untrimmed,1,3,1.2847554531155975e-05,True
6,5e-324,grid,trim_target,1,3,5.138894203041338e-07,True
6,2.2250738585072014e-308,grid,ideal,1.6894922256469727,3,3.3091013898112613e-18,True
6,2.2250738585072014e-308,grid,untrimmed,1.6894922256469727,3,4.195985819458927e-05,True
6,2.2250738585072014e-308,grid,trim_target,1.6894922256469727,3,1.2075771497341161e-06,True
6,1e-300,grid,ideal,1.3576593535224843,3,5.83494637534885e-18,True
6,1e-300,grid,untrimmed,1.3576593535224843,3,2.3131689728001197e-05,True
6,1e-300,grid,trim_target,1.3576593535224843,3,7.784848394059087e-07,True
6,1e-100,grid,ideal,1.4781372380246418,3,1.1443647134796423e-16,True
6,1e-100,grid,untrimmed,1.4781372380246418,3,2.9137617444353915e-05,True
6,1e-100,grid,trim_target,1.4781372380246418,3,9.180277798181005e-07,True
6,0.001,grid,ideal,1.838265625,3,2.3623779407998095e-18,True
6,0.001,grid,untrimmed,1.838265625,3,5.247943281111197e-05,True
6,0.001,grid,trim_target,1.838265625,3,1.4397961359987571e-06,True
6,0.125,grid,ideal,1.423828125,3,9.479619375977665e-18,True
6,0.125,grid,untrimmed,1.423828125,3,2.6296190957649863e-05,True
6,0.125,grid,trim_target,1.423828125,3,8.525702698066372e-07,True
6,0.5,grid,ideal,1.9073486328125,3,1.9517170664003624e-17,True
6,0.5,grid,untrimmed,1.9073486328125,3,5.7694674694715475e-05,True
6,0.5,grid,trim_target,1.9073486328125,3,1.5544422880034377e-06,True
6,0.9999999999999999,grid,ideal,1.4387112259864805,3,2.659909329831104e-17,True
6,0.9999999999999999,grid,untrimmed,1.4387112259864805,3,2.7054490627531507e-05,True
6,0.9999999999999999,grid,trim_target,1.4387112259864805,3,8.70106505738827e-07,True
6,1,grid,ideal,1,3,0.0,True
6,1,grid,untrimmed,1,3,1.2847554531155975e-05,True
6,1,grid,trim_target,1,3,5.138894203041338e-07,True
6,1.0000000000000002,grid,ideal,1.0000000000000002,3,4.7934256393637864e-33,True
6,1.0000000000000002,grid,untrimmed,1.0000000000000002,3,1.2846890267698744e-05,True
6,1.0000000000000002,grid,trim_target,1.0000000000000002,3,5.13888357489836e-07,True
6,2,grid,ideal,2,3,2.7925060273275704e-17,True
6,2,grid,untrimmed,2,3,6.500150192621832e-05,True
6,2,grid,trim_target,2,3,1.714330652565159e-06,True
6,3,grid,ideal,1.3463859558105469,3,1.82094094653477e-17,True
6,3,grid,untrimmed,1.3463859558105469,3,2.2613378155137834e-05,True
6,3,grid,trim_target,1.3463859558105469,3,7.665095491590531e-07,True
6,10,grid,ideal,1.77978515625,3,2.5041213428967735e-17,True
6,10,grid,untrimmed,1.77978515625,3,4.823158773887009e-05,True
6,10,grid,trim_target,1.77978515625,3,1.346023755599236e-06,True
6,500000,grid,ideal,1.9073486328125,3,1.9517170664003624e-17,True
6,500000,grid,untrimmed,1.9073486328125,3,5.762791278575914e-05,True
6,500000,grid,trim_target,1.9073486328125,3,1.5544042616524762e-06,True
6,1e+100,grid,ideal,1.3153509681529536,3,3.1905565433197704e-17,True
6,1e+100,grid,untrimmed,1.3153509681529536,3,2.1276936516584884e-05,True
6,1e+100,grid,trim_target,1.3153509681529536,3,7.346076768850831e-07,True
6,1e+300,grid,ideal,1.4932217896051503,3,1.6367017081649746e-17,True
6,1e+300,grid,untrimmed,1.4932217896051503,3,2.996236257321699e-05,True
6,1e+300,grid,trim_target,1.4932217896051503,3,9.369097906966302e-07,True
6,1.7976931348623157e+308,grid,ideal,1.6894922256469724,3,1.6190047488740933e-18,True
