time,state,q,residual,candidate,denominator,target,stagepeak,delta,first,corpeak,innerden,stored,stored_read,candidate_current_A,transfer_current_A
8.291497169609652327e-05,-1.403530263158973919e-07,5.438172458354101667e-08,1.493883451438422716e+00,-3.715530611458136567e-01,2.658511258774391983e+00,-3.715525476548108275e-01,5.681212533262756356e-07,-3.715494500117654253e-01,7.523024130480501226e-01,7.524526959366295564e-01,1.329255629384726412e+00,-8.255985593384570512e-10,3.047885715619041863e-05,5.134910026716659683e-08,-1.125817459209198947e-12
8.691497169609662050e-05,-1.475076351236774504e-07,2.181974039167594346e-06,1.493886309004919699e+00,-3.715510928606708396e-01,2.658515068862997488e+00,-3.715506550476148639e-01,2.719802005567855291e-06,-3.715490835086317500e-01,7.523014256353194318e-01,7.524515845182899731e-01,1.329257534429029608e+00,-8.706324410781405242e-10,3.047881212238160023e-05,4.378130559040194366e-08,-1.125811674397685472e-12
9.000854513589810193e-05,-1.530409620668766342e-07,3.845272623027054821e-06,1.493888776253769146e+00,-3.715497947705612702e-01,2.658518358528081826e+00,-3.715493784789739018e-01,4.371974014387206496e-06,-3.715490112109653964e-01,7.523004516901452554e-01,7.524505971460495601e-01,1.329259179261571111e+00,-9.054611956490720235e-10,3.047877729368739434e-05,4.162915873157884183e-08,-1.125807598051626609e-12
9.103230292531951811e-05,-1.548721086902514170e-07,3.854083528047191215e-06,1.493889483502109261e+00,-3.715493345506168943e-01,2.658519301525854583e+00,-3.715490461491114949e-01,3.870509209210316895e-06,-3.715492716813634244e-01,7.523003348900225706e-01,7.524507416390586734e-01,1.329259650760457712e+00,-9.169870651170621966e-10,3.047876576783771930e-05,2.884015053255164706e-08,-1.125806230262823221e-12
9.325865571244807773e-05,-1.588542795026434399e-07,2.388639204686748272e-06,1.493889220270203433e+00,-3.715495923403962508e-01,2.658518950549984883e+00,-3.715498701874243581e-01,2.878079390205914991e-06,-3.715499002694266917e-01,7.523001204778845263e-01,7.524505194595082491e-01,1.329259475272523083e+00,-9.420522109655592334e-10,3.047874070275527697e-05,-2.778470281241974785e-08,-1.125805292682053824e-12
9.702320934114638297e-05,-1.655877566337085748e-07,-7.864894406638995839e-07,1.493885273445456408e+00,-3.715497410780642662e-01,2.658513688117067009e+00,-3.715495703968736407e-01,1.642725028742189019e-06,-3.715485727910290414e-01,7.523007215155937955e-01,7.524515052215394739e-01,1.329256844056064146e+00,-9.844350730581592314e-10,3.047869832002725660e-05,1.706811906205588291e-08,-1.125806393909588267e-12
1.000403272296044541e-04,-1.709843311817610421e-07,-3.371272549745052371e-06,1.493881461389395371e+00,-3.715490599125193527e-01,2.658508605375728528e+00,-3.715488322962375856e-01,4.201619519151578989e-06,-3.715469434968281526e-01,7.523018154818141845e-01,7.524526372103870209e-01,1.329254302685394906e+00,-1.018402965761573188e-09,3.047866435221722621e-05,2.276162817844686239e-08,-1.125804797591295750e-12
1.018960932932623449e-04,-1.743036512329837458e-07,-4.233422813702186554e-06,1.493879384607274208e+00,-3.715489030786727209e-01,2.658505836332941463e+00,-3.715487767836064270e-01,4.498703100945423909e-06,-3.715458195787202933e-01,7.523021167359383865e-01,7.524526723413530460e-01,1.329252918164001374e+00,-1.039295880730371704e-09,3.047864345935427584e-05,1.262950662700155034e-08,-1.125803932601249772e-12
1.057558534554798240e-04,-1.812074197342706014e-07,-4.953394675306382125e-06,1.493877440560158254e+00,-3.715485542790720186e-01,2.658503244270158827e+00,-3.715485867459273339e-01,5.116599610806825483e-06,-3.715444805842615938e-01,7.523020959314246081e-01,7.524524373358879581e-01,1.329251622132610056e+00,-1.082750481097195812e-09,3.047860000486720704e-05,-3.246685536051275160e-09,-1.125802644602950056e-12
1.097558534554799213e-04,-1.883620285272270274e-07,-5.595730919234723509e-06,1.493876411061895171e+00,-3.715489504140698229e-01,2.658501871605828626e+00,-3.715490799310298131e-01,5.756946662323057478e-06,-3.715438868615390522e-01,7.523014274501633736e-01,7.524516990094916036e-01,1.329250935800444733e+00,-1.127783960286764771e-09,3.047855497152618121e-05,-1.295169599389118496e-08,-1.125803384655635709e-12
1.110897721780601202e-04,-1.907479451820644058e-07,-5.473699623287802957e-06,1.493876165352588270e+00,-3.715484448674744034e-01,2.658501543993424310e+00,-3.715473469998565870e-01,5.459137846024009388e-06,-3.715432478902201408e-01,7.523014154530454078e-01,7.524521487444920664e-01,1.329250771994242797e+00,-1.142801715794618557e-09,3.047853995381335582e-05,1.097867616728925642e-07,-1.125803292413747672e-12
1.142905817383105911e-04,-1.964730802355885699e-07,-3.717826917833183455e-06,1.493877492195827550e+00,-3.715426674156982467e-01,2.658503313117716704e+00,-3.715407185921125732e-01,4.029958016124283151e-06,-3.715413097416057076e-01,7.523031416044603237e-01,7.524541414735766987e-01,1.329251656556388994e+00,-1.178837325150031342e-09,3.047850391817938940e-05,1.948823579524219601e-07,-1.125790367707411946e-12
1.182905817383106883e-04,-2.036276890230057975e-07,-1.216517379705609321e-06,1.493880999701195034e+00,-3.715354315569843746e-01,2.658507989791470294e+00,-3.715337054750441625e-01,1.564791992577834016e-06,-3.715404649893832567e-01,7.523048545413367760e-01,7.524556823591802557e-01,1.329253994893265789e+00,-1.223869622872472975e-09,3.047845888578959173e-05,1.726081935876426512e-07,-1.125768084303448436e-12
