time,state,q,residual,candidate,denominator,target,stagepeak,delta,first,corpeak,innerden,stored,stored_read,candidate_current_A,transfer_current_A
9.557704937402647702e-06,4.282398612040988989e-09,6.798788231231994492e-07,1.216000886431807038e+00,-1.761332633662309466e-01,2.288001177618578463e+00,-1.888351373598547711e-01,7.075494407842255466e-07,-1.888386001948126891e-01,8.741776694865217578e-01,8.742917626992341429e-01,1.144000588808209207e+00,-2.518675412141980908e-11,3.045363323982274860e-05,-1.123099339471599284e-03,2.120529778961893314e-10
1.003379726562500285e-05,4.401915212124431008e-09,6.612122381350661217e-07,1.216000865181882551e+00,-1.806349363436322852e-01,2.288001149285346258e+00,-1.888261608502201649e-01,6.888791210243472733e-07,-1.888299947578428173e-01,8.741558586864935920e-01,8.742976218911073794e-01,1.144000574641593104e+00,-2.776194903119301997e-11,3.045443711766318871e-05,-7.762001159794045761e-04,1.314076750801390644e-10
1.213442762571834659e-05,6.056858952038698895e-09,1.437644685393385608e-07,1.216000605630285003e+00,-1.877873853310552954e-01,2.288000803216554857e+00,-1.888084395976435126e-01,2.862986437004431129e-07,-1.888121628286548170e-01,8.741339062685987704e-01,8.743077111786158317e-01,1.144000401607197404e+00,-3.955898618762752987e-11,3.045558415189415259e-05,-1.020168105463307854e-04,1.552455155937995088e-11
1.599807369590909098e-05,9.100762818690728665e-09,-1.311416246984973230e-06,1.215999149626834530e+00,-1.887844596877694126e-01,2.287998861878649759e+00,-1.888051106286269543e-01,1.697874128257477305e-06,-1.888081268439256999e-01,8.741326206492117112e-01,8.743069219023933414e-01,1.143999430938244855e+00,-6.163287199417654674e-11,3.045571972718795549e-05,-2.065093571677557333e-06,-2.403602423733597552e-13
1.987403684795453768e-05,1.215437047504299129e-08,-2.810711422822390400e-06,1.215997350064396354e+00,-1.888039278239188601e-01,2.287996462462101199e+00,-1.888040817378521807e-01,3.198296239680933129e-06,-1.888063492080224448e-01,8.741303693401604180e-01,8.743046025025472678e-01,1.143998231229970575e+00,-8.380668624578774194e-11,3.045570080304327079e-05,-1.539139333079071961e-08,-5.653210119296178078e-13
2.057549821842566442e-05,1.270700416298934428e-08,-2.859866777326865362e-06,1.215997040473446145e+00,-1.888040379470553864e-01,2.287996049674173360e+00,-1.888041998559395751e-01,2.832902307015734504e-06,-1.888060492713395377e-01,8.741300677714400891e-01,8.743046777647458523e-01,1.143998024836006877e+00,-8.781973690338262606e-11,3.045569682402201605e-05,-1.619088841894800463e-08,-5.687228320251724824e-13
2.215026613204514928e-05,1.394765665834840053e-08,-1.648812057970084391e-06,1.215997046514169178e+00,-1.888040219963782185e-01,2.287996057728471477e+00,-1.888038919246434744e-01,2.101465326894559882e-06,-1.888058762101135768e-01,8.741301560099002943e-01,8.743051676662724203e-01,1.143998028863155492e+00,-9.682896646039340112e-11,3.045568784134361151e-05,1.300717347539749559e-08,-5.713754341994086246e-13
2.514401502553211364e-05,1.630622772287630720e-08,1.842748743795205383e-06,1.215999958867218567e+00,-1.888042998328878508e-01,2.287999940865812043e+00,-1.888047225259640582e-01,3.059622218037981615e-06,-1.888081524665278232e-01,8.741301728179752262e-01,8.743047583169182291e-01,1.143999970431825997e+00,-1.139561646638149058e-10,3.045567072076444653e-05,-4.226930761318089638e-08,-5.720325590564599357e-13
2.914401502553210245e-05,1.945755556992126303e-08,6.736730697660893315e-06,1.216005702010150014e+00,-1.888070687227684230e-01,2.288007598389607100e+00,-1.888079037490414946e-01,7.963713639010603699e-06,-1.888134941012793999e-01,8.741284559711963720e-01,8.743027538429970491e-01,1.144003799193723303e+00,-1.368402992148205248e-10,3.045564783709775103e-05,-8.350262725934483919e-08,-5.720729598175383933e-13
3.048976084725673805e-05,2.051777714042423274e-08,8.184991067563294147e-06,1.216007686306366908e+00,-1.888082497435955576e-01,2.288010244117856473e+00,-1.888093272668759925e-01,8.651725895638847621e-06,-1.888154531650332035e-01,8.741276678378121501e-01,8.743016733147944697e-01,1.144005122057848212e+00,-1.445394414994563646e-10,3.045564013801456893e-05,-1.077523279406807703e-07,-5.720767213214505198e-13
3.185193922942324354e-05,2.159094480712142968e-08,8.074954513023472382e-06,1.216009090874172527e+00,-1.888104742012404191e-01,2.288012116874902802e+00,-1.888125804491828374e-01,8.104113861133734891e-06,-1.888176847612275111e-01,8.741260742611783874e-01,8.742994778333647021e-01,1.144006058436371376e+00,-1.523326621245670454e-10,3.045563234486436309e-05,-2.106247934649349937e-07,-5.720815890503917604e-13
3.430317026129191558e-05,2.352210295864445035e-08,6.547603164415361918e-06,1.216008958074463076e+00,-1.888159767593883265e-01,2.288011939808626494e+00,-1.888180648597272138e-01,6.917827275750732092e-06,-1.888200014930041803e-01,8.741226248829270240e-01,8.742962167770654824e-01,1.144005969903233222e+00,-1.663568084239183028e-10,3.045561832090504519e-05,-2.088100331281944551e-07,-5.720963744340024569e-13
3.812136138359455443e-05,2.653019595842186207e-08,3.756133612502956602e-06,1.216006021273143611e+00,-1.888224543130976874e-01,2.288008024073592050e+00,-1.888238978199386908e-01,4.215888240438835338e-06,-1.888204879069175501e-01,8.741190219835224262e-01,8.742930815981728720e-01,1.144004012035716000e+00,-1.882024128554885716e-10,3.045559647557630033e-05,-1.443506838480207282e-07,-5.721178477356547285e-13
4.036173230133514671e-05,2.829523177167257857e-08,2.133300786410380333e-06,1.216004035392968419e+00,-1.888254745598940409e-01,2.288005376233397836e+00,-1.888262369949577635e-01,2.578224107285638604e-06,-1.888202757324007330e-01,8.741174851214283947e-01,8.742921575199592565e-01,1.144002688115618893e+00,-2.010209043415239783e-10,3.045558365721956931e-05,-7.624350634190565552e-08,-5.721277459085663975e-13
4.328314026759113361e-05,3.059681033775455143e-08,1.136416560620138202e-06,1.216002073922983540e+00,-1.888227507042228026e-01,2.288002760940123448e+00,-1.888209791364522661e-01,1.312326931557598279e-06,-1.888166751415930877e-01,8.741208721336350962e-01,8.742974611782980965e-01,1.144001380468981699e+00,-2.177360736271676333e-10,3.045556694209237232e-05,1.771567765920959991e-07,-5.721272916447967245e-13
4.728314026759112242e-05,3.374813817959083367e-08,2.148786255379114405e-07,1.216000716651679303e+00,-1.888156428412023913e-01,2.288000951245078074e+00,-1.888139342959154754e-01,3.378764290728857775e-07,-1.888123428353921107e-01,8.741279303214465335e-01,8.743044722897581611e-01,1.144000475621459012e+00,-2.406218572873647915e-10,3.045554405617139011e-05,1.708545282750366127e-07,-5.721071738499696006e-13
5.004083641612397886e-05,3.592073934197107062e-08,-4.072587779191064704e-07,1.215999947456707364e+00,-1.888109987468124529e-01,2.287999925651797550e+00,-1.888093698048115554e-01,6.014199278218059185e-07,-1.888096198950515170e-01,8.741326163545457550e-01,8.743090514914937383e-01,1.143999962824818750e+00,-2.563993780998136655e-10,3.045552827855226667e-05,1.628941997307746675e-07,-5.720929405624337831e-13
