 time                     v(lower)                 v(upper)                 v(unit)                  v(dl)                    v(ratio)                 v(core)
 1.39497232995361456e-07  5.02175608417399055e-01  5.25231463297418211e-01  1.00000000000000000e+00  1.44799089616700796e-06  1.02306854240147826e+00  7.33479803272231136e-05
 1.39946695270376895e-07  5.03293169421419995e-01  5.26509317501752228e-01  1.00000000000000000e+00  1.45077423612428057e-06  1.02322901078064787e+00  7.46004362250549634e-05
 1.40396234443632299e-07  5.04408412297283282e-01  5.27785286343711135e-01  1.00000000000000000e+00  1.45354755100052659e-06  1.02338991472275942e+00  7.58696753067010363e-05
 1.40845856970603483e-07  5.05521357354192902e-01  5.29059390390616890e-01  1.00000000000000000e+00  1.45631090300555547e-06  1.02355125452654327e+00  7.71558765024355078e-05
 1.41295569292470810e-07  5.06632024715594764e-01  5.30331650039193581e-01  1.00000000000000000e+00  1.45906435379994099e-06  1.02371303050641194e+00  7.84592205108359657e-05
 1.41745377836501119e-07  5.07740434321258149e-01  5.31602085517500322e-01  1.00000000000000000e+00  1.46180796450214613e-06  1.02387524299231725e+00  7.97798898187332189e-05
 1.42195289018264068e-07  5.08846605933840124e-01  5.32870716892012597e-01  1.00000000000000000e+00  1.46454179570672343e-06  1.02403789233027598e+00  8.11180687268889039e-05
 1.42645309240910808e-07  5.09950559138168003e-01  5.34137564066369142e-01  1.00000000000000000e+00  1.46726590748446114e-06  1.02420097888184025e+00  8.24739433674307436e-05
 1.43095444898276635e-07  5.11052313349884990e-01  5.35402646790868353e-01  1.00000000000000000e+00  1.46998035940564822e-06  1.02436450302495774e+00  8.38477017330269641e-05
 1.43545702373438309e-07  5.12151887812895890e-01  5.36665984659126072e-01  1.00000000000000000e+00  1.47268521053565901e-06  1.02452846515318985e+00  8.52395336928141867e-05
 1.43996088041845535e-07  5.13249301607985098e-01  5.37927597117568324e-01  1.00000000000000000e+00  1.47538051945806954e-06  1.02469286567659457e+00  8.66496310225707610e-05
 1.44446608270380067e-07  5.14344573651433379e-01  5.39187503463448681e-01  1.00000000000000000e+00  1.47806634427311304e-06  1.02485770502113560e+00  8.80781874228195799e-05
 1.44897269419671209e-07  5.15437722701546308e-01  5.40445722851967680e-01  1.00000000000000000e+00  1.48074274261557389e-06  1.02502298362928124e+00  8.95253985474137205e-05
 1.45348077844624198e-07  5.16528767360779129e-01  5.41702274298343722e-01  1.00000000000000000e+00  1.48340977166182372e-06  1.02518870195995793e+00  9.09914620270264163e-05
 1.45799039894664260e-07  5.17617726077150175e-01  5.42957176679069509e-01  1.00000000000000000e+00  1.48606748813511855e-06  1.02535486048840307e+00  9.24765774920268958e-05
 1.46250161915949299e-07  5.18704617150376412e-01  5.44210448738620345e-01  1.00000000000000000e+00  1.48871594832240877e-06  1.02552145970674569e+00  9.39809466022251307e-05
 1.46701450250663468e-07  5.19789458730919196e-01  5.45462109088003411e-01  1.00000000000000000e+00  1.49135520807382037e-06  1.02568850012351742e+00  9.55047730674611736e-05
 1.47152911239921595e-07  5.20872268827697549e-01  5.46712176213309031e-01  1.00000000000000000e+00  1.49398532282323971e-06  1.02585598226450059e+00  9.70482626806545682e-05
 1.47604551222332745e-07  5.21953065305324371e-01  5.47960668472185941e-01  1.00000000000000000e+00  1.49660634758337704e-06  1.02602390667197674e+00  9.86116233366963817e-05
 1.48056376537340734e-07  5.23031865892773506e-01  5.49207604103520874e-01  1.00000000000000000e+00  1.49921833696859361e-06  1.02619227390574674e+00  1.00195065068046666e-04
 1.48508393523979602e-07  5.24108688181022742e-01  5.50453001224397664e-01  1.00000000000000000e+00  1.50182134519094832e-06  1.02636108454245711e+00  1.01798800065065200e-04
 1.48960608523298292e-07  5.25183549629441693e-01  5.51696877837167698e-01  1.00000000000000000e+00  1.50441542607742982e-06  1.02653033917629122e+00  1.03423042709520981e-04
 1.49413027878611164e-07  5.26256467566946329e-01  5.52939251830483203e-01  1.00000000000000000e+00  1.50700063307448384e-06  1.02670003841885915e+00  1.05068009601037173e-04
 1.49865657936000682e-07  5.27327459193733472e-01  5.54180140981006208e-01  1.00000000000000000e+00  1.50957701925395327e-06  1.02687018289918064e+00  1.06733919584794254e-04
 1.50318505046563269e-07  5.28396541587105362e-01  5.55419562959866830e-01  1.00000000000000000e+00  1.51214463732883717e-06  1.02704077326432985e+00  1.08420993786166120e-04
 1.50771575565434583e-07  5.29463731699638784e-01  5.56657535330259523e-01  1.00000000000000000e+00  1.51470353965061543e-06  1.02721181017887098e+00  1.10129455634018622e-04
 1.51224875854768557e-07  5.30529046366661872e-01  5.57894075555837921e-01  1.00000000000000000e+00  1.51725377822892474e-06  1.02738329432578812e+00  1.11859530899203384e-04
 1.51678412282509445e-07  5.31592502303776304e-01  5.59129200997574127e-01  1.00000000000000000e+00  1.51979540472732802e-06  1.02755522640583208e+00  1.13611447717810424e-04
 1.52132191225367098e-07  5.32654116114236298e-01  5.60362928922064629e-01  1.00000000000000000e+00  1.52232847048268761e-06  1.02772760713845845e+00  1.15385436630906351e-04
 1.52586219067686761e-07  5.33713904286656216e-01  5.61595276498615514e-01  1.00000000000000000e+00  1.52485302650138937e-06  1.02790043726121483e+00  1.17181730609069488e-04
 1.53040502204619013e-07  5.34771883202752929e-01  5.62826260807995915e-01  1.00000000000000000e+00  1.52736912347950503e-06  1.02807371753076571e+00  1.19000565094236723e-04
 1.53495047040053644e-07  5.35828069132828655e-01  5.64055898836946512e-01  1.00000000000000000e+00  1.52987681179373659e-06  1.02824744872192575e+00  1.20842178021434121e-04
 1.53949859991178199e-07  5.36882478246657802e-01  5.65284207490615698e-01  1.00000000000000000e+00  1.53237614152898933e-06  1.02842163162922384e+00  1.22706809867561319e-04
 1.54404947485799976e-07  5.37935126607504643e-01  5.66511203585372103e-01  1.00000000000000000e+00  1.53486716246584568e-06  1.02859626706570717e+00  1.24594703671637974e-04
 1.54860315966131870e-07  5.38986030181122566e-01  5.67736903859068942e-01  1.00000000000000000e+00  1.53734992410358655e-06  1.02877135586422042e+00  1.26506105081905089e-04
 1.55315971888011514e-07  5.40035204834125593e-01  5.68961324968939475e-01  1.00000000000000000e+00  1.53982447565800083e-06  1.02894689887693946e+00  1.28441262384888392e-04
