 time                     v(lower)                 v(upper)                 v(unit)                  v(dl)                    v(ratio)                 v(core)
 2.75300530836313607e-08  1.28596262459770683e-01  1.28950254195620201e-01  1.00000000000000000e+00  5.10808893368295213e-13  1.00035399189310059e+00  7.98138895887961964e-09
 2.78270499342578498e-08  1.29889323918623178e-01  1.30254220697446937e-01  1.00000000000000000e+00  5.43886039926509742e-13  1.00036489694815711e+00  8.49821937385172220e-09
 2.81231481418085130e-08  1.31176562814360548e-01  1.31552538175259331e-01  1.00000000000000000e+00  5.78603147280870301e-13  1.00037597554305191e+00  9.04067417626360571e-09
 2.84183715722055794e-08  1.32458102843769909e-01  1.32845330737506373e-01  1.00000000000000000e+00  6.15018231194857716e-13  1.00038722808948100e+00  9.60965986241965661e-09
 2.87127432825250978e-08  1.33734063483322313e-01  1.34132718274144441e-01  1.00000000000000000e+00  6.53190621168940583e-13  1.00039865500096559e+00  1.02061034557647007e-08
 2.90062855639504103e-08  1.35004560207849039e-01  1.35414816675441807e-01  1.00000000000000000e+00  6.93180977851531424e-13  1.00041025669297912e+00  1.08309527789301805e-08
 2.92990199802816682e-08  1.36269704687899534e-01  1.36691738029399823e-01  1.00000000000000000e+00  7.35051310482717051e-13  1.00042203358301118e+00  1.14851767262924553e-08
 2.95909674015184451e-08  1.37529604963935986e-01  1.37963590795908003e-01  1.00000000000000000e+00  7.78864994188514605e-13  1.00043398609052847e+00  1.21697655341955444e-08
 2.98821480365612739e-08  1.38784365615039623e-01  1.39230479975458232e-01  1.00000000000000000e+00  8.24686787623245121e-13  1.00044611463698185e+00  1.28857310566132112e-08
 3.01725814640151673e-08  1.40034087917827260e-01  1.40492507268072636e-01  1.00000000000000000e+00  8.72582850824867226e-13  1.00045841964581816e+00  1.36341070441385569e-08
 3.04622866604693517e-08  1.41278869993005096e-01  1.41749771219838450e-01  1.00000000000000000e+00  9.22620763153665541e-13  1.00047090154246154e+00  1.44159494242760291e-08
 3.07512820280545840e-08  1.42518806947420806e-01  1.43002367364981703e-01  1.00000000000000000e+00  9.74869541585990307e-13  1.00048356075433453e+00  1.52323365872811072e-08
 3.10395854203961320e-08  1.43753991007895654e-01  1.44250388359720816e-01  1.00000000000000000e+00  1.02939965922581400e-12  1.00049639771088006e+00  1.60843696754033517e-08
 3.13272141666705426e-08  1.44984511645682129e-01  1.45493924106727596e-01  1.00000000000000000e+00  1.08628306395528075e-12  1.00050941284356409e+00  1.69731728743012716e-08
 3.16141850951038506e-08  1.46210455697361769e-01  1.46733061876065135e-01  1.00000000000000000e+00  1.14559319746244394e-12  1.00052260658591696e+00  1.78998937103506953e-08
 3.19005145536953654e-08  1.47431907472781898e-01  1.47967886413096522e-01  1.00000000000000000e+00  1.20740501419114648e-12  1.00053597937350403e+00  1.88657033467366721e-08
 3.21862184321189182e-08  1.48648948866991232e-01  1.49198480050501847e-01  1.00000000000000000e+00  1.27179500100862037e-12  1.00054953164400828e+00  1.98717968907597050e-08
 3.24713121796934144e-08  1.49861659454428919e-01  1.50424922802418065e-01  1.00000000000000000e+00  1.33884119650661802e-12  1.00056326383718042e+00  2.09193936954159189e-08
 3.27558108250036498e-08  1.51070116589239772e-01  1.51647292464831412e-01  1.00000000000000000e+00  1.40862321112544387e-12  1.00057717639491628e+00  2.20097376738350735e-08
 3.30397289925766757e-08  1.52274395492185438e-01  1.52865664702473258e-01  1.00000000000000000e+00  1.48122224707683935e-12  1.00059126976124135e+00  2.31440976105756299e-08
 3.33230809196638378e-08  1.53474569337201328e-01  1.54080113135409563e-01  1.00000000000000000e+00  1.55672111873941154e-12  1.00060554438234406e+00  2.43237674803033145e-08
 3.36058804715877289e-08  1.54670709331094391e-01  1.55290709418743289e-01  1.00000000000000000e+00  1.63520427315225924e-12  1.00062000070657975e+00  2.55500667680040636e-08
 3.38881411569696253e-08  1.55862884792008105e-01  1.56497523321117799e-01  1.00000000000000000e+00  1.71675781093712422e-12  1.00063463918450912e+00  2.68243407958925804e-08
 3.41698761417943289e-08  1.57051163222274415e-01  1.57700622797587647e-01  1.00000000000000000e+00  1.80146950737199226e-12  1.00064946026891732e+00  2.81479610526873841e-08
 3.44510982625356386e-08  1.58235610376651847e-01  1.58900074057862245e-01  1.00000000000000000e+00  1.88942883364346153e-12  1.00066446441481993e+00  2.95223255256790884e-08
 3.47318200390832038e-08  1.59416290329111504e-01  1.60095941633122213e-01  1.00000000000000000e+00  1.98072697849195472e-12  1.00067965207949250e+00  3.09488590389367938e-08
 3.50120536870356132e-08  1.60593265536363272e-01  1.61288288439575600e-01  1.00000000000000000e+00  2.07545687012984524e-12  1.00069502372250119e+00  3.24290135957788342e-08
 3.52918111289644640e-08  1.61766596896499720e-01  1.62477175837108218e-01  1.00000000000000000e+00  2.17371319828172722e-12  1.00071057980570899e+00  3.39642687231519815e-08
 3.55711040056316720e-08  1.62936343806920264e-01  1.63662663687241389e-01  1.00000000000000000e+00  2.27559243666165830e-12  1.00072632079330970e+00  3.55561318228384070e-08
 3.58499436862611160e-08  1.64102564217787794e-01  1.64844810406598957e-01  1.00000000000000000e+00  2.38119286557966886e-12  1.00074224715183790e+00  3.72061385246823236e-08
 3.61283412788342966e-08  1.65265314685111103e-01  1.66023673020029017e-01  1.00000000000000000e+00  2.49061459501619587e-12  1.00075835935020852e+00  3.89158530471280648e-08
 3.64063076394029344e-08  1.66424650419261466e-01  1.67199307209130649e-01  1.00000000000000000e+00  2.60395958779053256e-12  1.00077465785972697e+00  4.06868685592270766e-08
 3.66838533812570955e-08  1.67580625332460292e-01  1.68371767359768054e-01  1.00000000000000000e+00  2.72133168312385614e-12  1.00079114315411566e+00  4.25208075488102444e-08
 3.69609888836776559e-08  1.68733292084122632e-01  1.69541106607440706e-01  1.00000000000000000e+00  2.84283662049936088e-12  1.00080781570954058e+00  4.44193221953024966e-08
 3.72377243003168189e-08  1.69882702124260099e-01  1.70707376880714634e-01  1.00000000000000000e+00  2.96858206383348324e-12  1.00082467600464020e+00  4.63840947473981529e-08
 3.75140695666725788e-08  1.71028905732750397e-01  1.71870628940486769e-01  1.00000000000000000e+00  3.09867762569889262e-12  1.00084172452052012e+00  4.84168379015451624e-08
 3.77900344083317806e-08  1.72171952061445754e-01  1.73030912422156957e-01  1.00000000000000000e+00  3.23323489236129799e-12  1.00085896174081568e+00  5.05192951931452390e-08
 3.80656283483076560e-08  1.73311889172175243e-01  1.74188275873659953e-01  1.00000000000000000e+00  3.37236744889727276e-12  1.00087638815172331e+00  5.26932413890198473e-08
 3.83408607129748831e-08  1.74448764068629664e-01  1.75342766787310173e-01  1.00000000000000000e+00  3.51619090405770976e-12  1.00089400424195918e+00  5.49404828759016854e-08
 3.86157406401902574e-08  1.75582622736980026e-01  1.76494431640537353e-01  1.00000000000000000e+00  3.66482291670658277e-12  1.00091181050287692e+00  5.72628580735403359e-08
 3.88902770844837859e-08  1.76713510174090122e-01  1.77643315924048251e-01  1.00000000000000000e+00  3.81838322123852620e-12  1.00092980742841742e+00  5.96622378318519542e-08
 3.91644788235513007e-08  1.77841470420836451e-01  1.78789464175195034e-01  1.00000000000000000e+00  3.97699365411607020e-12  1.00094799551515612e+00  6.21405258455635812e-08
 3.94383544646829821e-08  1.78966546594881426e-01  1.79932920010811320e-01  1.00000000000000000e+00  4.14077818089846966e-12  1.00096637526236676e+00  6.46996590765385696e-08
 3.97119124496018229e-08  1.80088780916650232e-01  1.81073726153162529e-01  1.00000000000000000e+00  4.30986292283055976e-12  1.00098494717199427e+00  6.73416081692274842e-08
 3.99851610606581722e-08  1.81208214740638168e-01  1.82211924461332636e-01  1.00000000000000000e+00  4.48437618471054194e-12  1.00100371174873493e+00  7.00683778861022164e-08
 4.02581084251924179e-08  1.82324888578965005e-01  1.83347555954748803e-01  1.00000000000000000e+00  4.66444848212477794e-12  1.00102266950000596e+00  7.28820075331996593e-08
 4.05307625213744392e-08  1.83438842130759533e-01  1.84480660842651273e-01  1.00000000000000000e+00  4.85021257009965973e-12  1.00104182093603145e+00  7.57845714078071811e-08
 4.08031311822885877e-08  1.84550114304144336e-01  1.85611278546056302e-01  1.00000000000000000e+00  5.04180347111366251e-12  1.00106116656982058e+00  7.87781792361509790e-08
 4.10752221009989713e-08  1.85658743242027552e-01  1.86739447723607510e-01  1.00000000000000000e+00  5.23935850424478308e-12  1.00108070691722673e+00  8.18649766288247575e-08
 4.13470428349167627e-08  1.86764766344841182e-01  1.87865206294337589e-01  1.00000000000000000e+00  5.44301731435839941e-12  1.00110044249697183e+00  8.50471455368500151e-08
 4.16186008097465323e-08  1.87868220291380589e-01  1.88988591458512767e-01  1.00000000000000000e+00  5.65292190146961762e-12  1.00112037383065067e+00  8.83269047104627976e-08
 4.18899033241823511e-08  1.88969141062511115e-01  1.90109639721410983e-01  1.00000000000000000e+00  5.86921665118344503e-12  1.00114050144280275e+00  9.17065101747413597e-08
