time,state,candidate,next,inverse,geometry,residual,clock_a,clock_b
7.167601830090841597e-06,9.999999283239029424e-01,9.999999141887199183e-01,7.999999917059104071e-01,1.000000071676101943e+00,1.999999717295626089e+00,1.999999585943462943e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.267601830090840640e-06,9.999999273239016384e-01,9.999999129887190419e-01,7.999999916259101784e-01,1.000000072676104024e+00,1.999999713295621984e+00,1.999999579943458006e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.367601830090839683e-06,9.999999263239007785e-01,9.999999117887180544e-01,7.999999915459100608e-01,1.000000073676104995e+00,1.999999709295616990e+00,1.999999573943451070e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.467601830090838725e-06,9.999999253239001407e-01,9.999999105887172890e-01,7.999999914659100542e-01,1.000000074676105966e+00,1.999999705295613994e+00,1.999999567943445911e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.567601830090837768e-06,9.999999243238993918e-01,9.999999093887161905e-01,7.999999913859098255e-01,1.000000075676106048e+00,1.999999701295610999e+00,1.999999561943442083e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.667601830090836810e-06,9.999999233238980878e-01,9.999999081887154251e-01,7.999999913059103740e-01,1.000000076676107907e+00,1.999999697295608003e+00,1.999999555943438034e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.767601830090835853e-06,9.999999223238970059e-01,9.999999069887143266e-01,7.999999912259103674e-01,1.000000077676109100e+00,1.999999693295603898e+00,1.999999549943433097e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.867601830090834895e-06,9.999999213238961460e-01,9.999999057887135612e-01,7.999999911459100277e-01,1.000000078676110071e+00,1.999999689295600902e+00,1.999999543943427938e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.967601830090833938e-06,9.999999203238952861e-01,9.999999045887125737e-01,7.999999910659103541e-01,1.000000079676111042e+00,1.999999685295597018e+00,1.999999537943423000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.001739583333332127e-06,9.999999199825170271e-01,9.999999041790597065e-01,7.999999910385998669e-01,1.000000080017489079e+00,1.999999683930085093e+00,1.999999535895156111e+00,1.043749999999493028e+00,0.000000000000000000e+00
8.002514255818134485e-06,9.999999199747698908e-01,9.993074801935137863e-01,7.999999910379800294e-01,1.000000080025237104e+00,1.999999683899098990e+00,1.999999535848677068e+00,1.508553490880907955e+00,0.000000000000000000e+00
8.002773173746041045e-06,9.999999199721716359e-01,9.942197097244677151e-01,7.999999910377726398e-01,1.000000080027835025e+00,1.999999683888739943e+00,1.999999535833141051e+00,1.663904247624844013e+00,0.000000000000000000e+00
8.004713022749421512e-06,9.999999199523204041e-01,9.599579393023784935e-01,7.999999910362173283e-01,1.000000080047686035e+00,1.999999683811130913e+00,1.999999535716751042e+00,2.827813649653124095e+00,0.000000000000000000e+00
8.005376812512260748e-06,9.999999199453813992e-01,9.496844953748646567e-01,7.999999910356832000e-01,1.000000080054624929e+00,1.999999683784565052e+00,1.999999535676924900e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.007806196300535590e-06,9.999999199194594679e-01,9.173809975199100908e-01,7.999999910337102227e-01,1.000000080080547082e+00,1.999999683687244012e+00,1.999999535531161055e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.010470068052632990e-06,9.999999198902417286e-01,8.899071494577835972e-01,7.999999910315038765e-01,1.000000080109765044e+00,1.999999683580311105e+00,1.999999535371324022e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.013374447129638776e-06,9.999999198576586812e-01,8.672224251492922642e-01,7.999999910290300775e-01,1.000000080142348091e+00,1.999999683463383970e+00,1.999999535197046097e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.016542434472312994e-06,9.999999198214702956e-01,8.489487318008352990e-01,7.999999910262368674e-01,1.000000080178536033e+00,1.999999683335367040e+00,1.999999535006935947e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.020051238633247784e-06,9.999999197808140394e-01,8.344428752782904191e-01,7.999999910230124467e-01,1.000000080219191956e+00,1.999999683192928090e+00,1.999999534796341960e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.023981264980648551e-06,9.999999197347737567e-01,8.232304891367057120e-01,7.999999910192280295e-01,1.000000080265232905e+00,1.999999683032523068e+00,1.999999534560412018e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.028457589808550205e-06,9.999999196818972758e-01,8.148291553599802395e-01,7.999999910146866622e-01,1.000000080318109053e+00,1.999999682848669025e+00,1.999999534291589942e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.033658755447115914e-06,9.999999196200862750e-01,8.087979812067692675e-01,7.999999910090996869e-01,1.000000080379920053e+00,1.999999682633490039e+00,1.999999533979071931e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.039866416263809288e-06,9.999999195460024248e-01,8.047133225798875911e-01,7.999999910019996996e-01,1.000000080454003903e+00,1.999999682374510979e+00,1.999999533605774982e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.047554098998603534e-06,9.999999194540034608e-01,8.021708461713337179e-01,7.999999909925805675e-01,1.000000080546002978e+00,1.999999682050648042e+00,1.999999533142899910e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.057613249159584223e-06,9.999999193334300207e-01,8.007820009646694492e-01,7.999999909792725461e-01,1.000000080666576974e+00,1.999999681621950964e+00,1.999999532536028024e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.072024513370633931e-06,9.999999191605551951e-01,8.001763479621777364e-01,7.999999909584510904e-01,1.000000080839450911e+00,1.999999680998933993e+00,1.999999531663595009e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.096689197263359916e-06,9.999999188645963821e-01,8.000106471423639176e-01,7.999999909187601732e-01,1.000000081135409946e+00,1.999999679912003003e+00,1.999999530160005978e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.162612017807412417e-06,9.999999180735245075e-01,7.999997621961312255e-01,7.999999907958070811e-01,1.000000081926482043e+00,1.999999676915682034e+00,1.999999526056319032e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.262612017807411459e-06,9.999999168735228539e-01,7.999999918931302023e-01,7.999999905912282827e-01,1.000000083126483919e+00,1.999999672229481051e+00,1.999999519563538053e+00,3.000000000000000000e+00,0.000000000000000000e+00
