time,state,candidate,output,geometry,next,num,den,clock_a,clock_b,clip_ratio
1.891925732545339932e-06,4.665611877206429781e-01,4.665611792307989836e-01,9.335810955639459507e+00,7.984558414405060200e-02,5.516963019837779481e-01,2.001664749089469897e+00,1.004259012398529993e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.429346551128059861e+00
1.964853422393929872e-06,4.847931025722559961e-01,4.847930939767460257e-01,9.687744472701579568e+00,8.724099712182710464e-02,5.744839165600650333e-01,2.001926783469860194e+00,1.004782950481760029e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.300376988679469825e+00
2.059506259015169810e-06,5.084563018440410032e-01,5.084562931224639870e-01,9.906440447570449948e+00,9.733513123031389824e-02,6.040599577540619602e-01,2.002304001443270032e+00,1.005537198007530053e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.146779761008390075e+00
2.209470207851460184e-06,5.459472733819590307e-01,5.459472644836239619e-01,9.987172289504469447e+00,1.144740854976849936e-01,6.509189858121390282e-01,2.002993461129169983e+00,1.006915772751739935e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930685943513439806e+00
2.522567371981920093e-06,6.242215316558320515e-01,6.242215224639749982e-01,1.000006333912519985e+01,1.547873139327470005e-01,7.487520243835370515e-01,2.004835562514649894e+00,1.010599054592240087e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.563192582857220181e+00
3.003612487675859880e-06,7.444827601685529705e-01,7.444827506725100186e-01,9.999900395989339330e+00,2.286616361367500017e-01,8.990635273784860493e-01,2.008900603665690010e+00,1.018727104617499934e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.149143117347339871e+00
3.503612487675860175e-06,8.694827077010589544e-01,8.694826980127150495e-01,9.999899952820079818e+00,3.207739969732760210e-01,1.055297836799989897e+00,2.015019309498689903e+00,1.030961457297659978e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.840174607072349922e+00
4.003612487675859623e-06,9.944826551864169861e-01,9.944826453828790047e-01,9.999899996680159830e+00,4.285096259681939745e-01,1.211532146157209944e+00,2.023430732103900009e+00,1.047780097301409974e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.608876727669100060e+00
4.503612487675859918e-06,1.119482602639839897e+00,1.119482592767790052e+00,9.999899995626829963e+00,5.518685230620640203e-01,1.367766455471270071e+00,2.034501245433430139e+00,1.069915589367979925e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.521242434883119943e+00
5.003612487675860213e-06,1.244482550070530102e+00,1.244482540158240003e+00,9.999899995645529671e+00,6.908506882537910343e-01,1.524000764754970039e+00,2.048596987111980017e+00,1.098100025699890070e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.492466579788559899e+00
5.503612487675859661e-06,1.369482497484080019e+00,1.369482487548649985e+00,9.999899995645250783e+00,8.454561215427730536e-01,1.680235074016040109e+00,2.066084095123279951e+00,1.133065499217599914e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.458757041991590064e+00
6.003612487675849791e-06,1.494482444883850070e+00,1.494482434935650028e+00,9.999899995645250783e+00,1.015684822927900077e+00,1.836469383259170085e+00,2.087328707653210103e+00,1.175544103245750094e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.420502183989649891e+00
6.431640172184909834e-06,1.601489320973030095e+00,1.601489311018990058e+00,9.999512023168870556e+00,1.173821813964420091e+00,1.970214602499529954e+00,2.108777132221439921e+00,1.218430229456709979e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.384586220032600012e+00
6.607282866528350071e-06,1.645399976075059945e+00,1.645399966119559965e+00,9.923357380717559906e+00,1.242026974332959943e+00,2.025097432540349907e+00,2.118505248894130055e+00,1.237881599327369964e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.369116561742389937e+00
6.878953357952440070e-06,1.713317570339250029e+00,1.713317560382269900e+00,9.589227308322339383e+00,1.351318559427590049e+00,2.109985935663779788e+00,2.134668768707780107e+00,1.270200558164489957e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.344460923108879991e+00
