time,state,candidate,output,geometry,next,num,den,clock_a,clock_b,clip_ratio
5.197709548023599743e-07,1.235230248422889976e-01,1.235230288947490040e-01,1.037496454734300050e-01,1.037496454734300050e-01,9.402250764933330063e-02,2.598828785047239798e+00,1.968254564118210093e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.337786989365039592e-01
6.323770953017609923e-07,1.516745466967210076e-01,1.516745513823689884e-01,1.318670180509589895e-01,1.318670180509589895e-01,1.508359624178189917e-01,3.161853856968889875e+00,1.992893304398630105e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.615509811766080217e-01
7.224259626470390528e-07,1.741867529450639995e-01,1.741867580883519895e-01,1.543702492710209984e-01,1.543702492710209984e-01,2.086004861149829970e-01,3.611347998758959843e+00,1.998064140682580092e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.675632599122280464e-01
7.757100064038029706e-07,1.875077576283629976e-01,1.875077630237569903e-01,1.676883394997520094e-01,1.676883394997520094e-01,2.466995129228060080e-01,3.801227393090039985e+00,1.999227470522479955e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.126470977343930091e-01
8.583112655382219901e-07,2.081580627266360062e-01,2.081580684874710097e-01,1.883353883283770125e-01,1.883353883283770125e-01,3.038282779787179755e-01,3.931027760155649808e+00,2.000037408046539955e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.434290165190759581e-01
9.589834788580219742e-07,2.333261042714890043e-01,2.333261104391509966e-01,2.135002766074829972e-01,2.135002766074829972e-01,3.662366063552179862e-01,3.981795225583950160e+00,2.000391763028880110e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.554437003811520057e-01
1.081739886902810074e-06,2.640151919379890022e-01,2.640151985498809806e-01,2.441858723904730133e-01,2.441858723904730133e-01,4.343578006577000217e-01,3.997177455521629952e+00,2.000568500337040145e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.590499792069819840e-01
1.241712817003900078e-06,3.040084058068259765e-01,3.040084129222430098e-01,2.841746612456270138e-01,2.841746612456270138e-01,5.171571829566860012e-01,4.000706606516200026e+00,2.000748417330389994e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.598104161892070385e-01
1.442905485799960019e-06,3.543065495930590170e-01,3.543065572384059836e-01,3.344672695359809933e-01,3.344672695359809933e-01,6.184222393127200013e-01,4.001279949065169816e+00,2.001047202134190073e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.598046330455709541e-01
1.692044192538339905e-06,4.165911973492509857e-01,4.165912055203260245e-01,3.967450664625969958e-01,3.967450664625969958e-01,7.429556017250009692e-01,4.001577400845990340e+00,2.001595869136369998e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.596128679236169967e-01
